"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..1237",2181.66666666667,2210,2195,2080,2252.5,2182.5,2580,1800,2450,2080,2050
"..1238",2093.33333333333,2027.5,1965,2480,2070,2000,1850,1800,2000,2080,2050
"..1239",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2380,2050
"..1240",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2380,2050
"..1241",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2380,2050
"..1242",1943.33333333333,1882.5,2132.5,1880,1995,1995,2050,1800,2380,2530,2050
"..1243",1943.33333333333,1882.5,2022.5,1880,1995,1995,2050,1800,1980,2080,2050
"..1244",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2080,2050
"..1245",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2080,2050
"..1246",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2080,2050
"..1247",2041.66666666667,1907.5,2177.5,2180,2070,2070,2050,1800,1980,1880,2050
"..1248",2041.66666666667,1907.5,2060.5,2180,2070,2070,2050,1800,1980,1880,2050
"..1249",1991.66666666667,1982.5,2102.5,2180,2020,2045,2050,1800,2100,1880,2050
"..1250",2020,1982.5,2102.5,2180,2020,2037.5,2050,1800,1980,1880,2050
"..1251",2020,1982.5,2077.5,2180,2020,2037.5,2050,1800,1980,1880,2050
"..1252",1975,1840,2010,2280,1952.5,1902.5,1980,1800,1980,2380,1850
"..1253",1953.33333333333,1807.5,1977.5,2280,1920,1870,1850,1800,1980,2380,1850
"..1254",1913.33333333333,1795,1977.5,2050,1920,1870,1850,1800,1980,2380,1850
"..1255",1913.33333333333,1795,1977.5,2050,1920,1870,1850,1800,1880,2380,1850
"..1256",1835,1795,1977.5,2050,1770,1870,1850,1800,1880,2380,1850
"..1257",1666.66666666667,1802.5,1842.5,1580,1635,1685,1680,1800,1880,1680,1480
"..1258",1616.66666666667,1760,1842.5,1580,1635,1660,1580,1680,1600,1580,1480
"..1259",1616.66666666667,1860,1792.5,1580,1635,1660,1580,1680,1600,2380,1480
"..1260",1616.66666666667,1860,1742.5,1580,1635,1660,1580,1800,1480,2380,1480
"..1261",1616.66666666667,1760,1742.5,1580,1635,1660,1580,1800,1480,2380,1480
"..1262",1890,1810,1860,2050,1785,1870,1880,1800,1480,1880,1650
"..1263",1776.66666666667,1772.5,1822.5,1850,1752.5,1832.5,1880,1800,1480,1570,1650
"..1264",1776.66666666667,1910,1860,2050,1820,1832.5,1880,1800,1980,1880,1780
"..1265",1776.66666666667,1747.5,1807.5,2050,1782.5,1832.5,1730,1800,1980,1880,2180
"..1266",1776.66666666667,1747.5,1807.5,2050,1782.5,1832.5,1730,1800,1980,1770,1750
"..1267",1865,1772.5,1802.5,2150,1782.5,1832.5,1730,1800,1980,1770,1750
"..1268",1865,1735,1802.5,2050,1782.5,1832.5,1730,1800,1980,1770,1750
